P,o,i,n,t, ,#
0,140
140,136
136,135
135,142
142,131
131,146
146,128
128,127
127,123
123,140
140,132
132,133
133,134
134,135
135,145
145,130
130,150
150,126
126,147
147,127
127,143
143,130
130,132
132,144
144,123
123,147
147,146
146,129
129,151
151,125
125,124
124,147
147,129
129,140
140,141
141,128
128,149
149,127
127,151
151,149
149,134
134,143
143,125
125,152
152,126
126,148
148,149
149,123
123,148
148,131
131,138
138,139
139,137
137,136
136,142
142,127
127,144
144,145
145,124
124,150
150,133
133,138
138,122
122,146
146,134
134,123
123,142
142,143
143,144
144,131
131,140
140,124
124,151
151,128
128,154
154,126
126,153
153,130
130,139
139,132
132,152
152,124
124,148
148,122
122,147
147,146
146,125
125,145
145,129
129,142
142,121
121,144
144,128
128,147
147,121
121,145
145,123
123,150
150,131
131,141
141,140
140,122
122,149
149,125
125,139
139,140
140,128
128,156
156,127
127,153
153,129
129,155
155,125
125,154
154,131
131,151
151,133
133,134
134,137
137,138
138,147
147,149
149,136
136,152
152,130
130,157
157,127
127,158
158,130
130,161
161,128
128,159
159,132
132,149
149,135
135,122
122,143
143,133
133,147
147,140
140,134
134,155
155,131
131,165
165,130
130,162
162,129
129,160
160,131
131,167
167,133
133,156
156,125
125,141
141,122
122,150
150,134
134,170
170,132
132,168
168,135
135,154
154,138
138,137
137,148
148,121
121,141
141,146
146,124
124,155
155,128
128,163
163,129
129,164
164,134
134,173
173,137
137,151
151,122
122,145
145,120
120,142
142,118
118,137
137,177
177,139
139,153
153,132
132,157
157,126
126,144
144,151
151,120
120,136
136,169
169,133
133,171
171,136
136,174
174,133
133,172
172,135
135,175
175,137
137,159
159,129
129,166
166,134
134,161
161,107
107,160
160,136
136,163
163,132
132,173
173,139
139,148
148,149
149,124
124,158
158,135
135,162
162,108
108,164
164,131
131,169
169,130
130,170
170,138
138,178
178,140
140,151
151,123
123,152
152,97
97,153
153,122
122,152
152,96
96,151
151,119
119,137
137,1
1,141
141,179
179,139
139,4
4,143
143,142
142,3
3,138
138,176
176,136
136,167
167,129
129,168
168,138
138,161
161,108
108,163
163,103
103,157
157,102
102,156
156,101
101,155
155,34
34,154
154,100
100,155
155,35
35,156
156,140
140,117
117,138
138,174
174,140
140,16
16,150
150,149
149,126
126,160
160,106
